Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Pecans_var1,1/2 cup,52,343,5,35,25,1.1,7,Seeds and Nuts
Sesame seeds_var1,1/2 cup,50,280,9,24,13,3.1,10,Seeds and Nuts
Sunflower seeds_var1,1/2 cup,50,280,12,26,7,1.9,10,Seeds and Nuts
Walnuts_var1,1/2 cup,50,325,7,32,7,1,8,Seeds and Nuts
Beer_var1,2 cups,480,228,t,0,0,0,8,"Drinks,Alcohol, Beverages"
Gin_var1,1 oz.,28,70,0,0,0,0,t,"Drinks,Alcohol, Beverages"
Wines_var1,1/2 cup,120,164,t,0,0,0,9,"Drinks,Alcohol, Beverages"
Table (12.2% alcohol)_var1,1/2 cup,120,100,t,0,0,0,5,"Drinks,Alcohol, Beverages"
Carbonated drinks Artificially sweetened_var1,12 oz.,346,0,0,0,0,0,0,"Drinks,Alcohol, Beverages"
Club soda_var1,12 oz.,346,0,0,0,0,0,0,"Drinks,Alcohol, Beverages"
Cola drinks_var1,12 oz.,346,137,0,0,0,0,38,"Drinks,Alcohol, Beverages"
Fruit-flavored soda_var1,12 oz.,346,161,0,0,0,0,42,"Drinks,Alcohol, Beverages"
Ginger ale_var1,12 oz.,346,105,0,0,0,0,28,"Drinks,Alcohol, Beverages"
Root beer_var1,12 oz.,346,140,0,0,0,0,35,"Drinks,Alcohol, Beverages"
Coffee_var1,1 cup,230,3,t,0,0,0,1,"Drinks,Alcohol, Beverages"
Tea_var1,1 cup,230,4,0,t,0,0,1,"Drinks,Alcohol, Beverages"
Cows' milk_var2,1 qt.,976,660,32,40,36,0,48,Dairy products
Milk skim_var2,1 qt.,984,360,36,t,t,0,52,Dairy products
Buttermilk_var2,1 cup,246,127,9,5,4,0,13,Dairy products
"Evaporated, undiluted_var2",1 cup,252,345,16,20,18,0,24,Dairy products
Fortified milk_var2,6 cups,"1,419","1,373",89,42,23,1.4,119,Dairy products
Powdered milk_var2,1 cup,103,515,27,28,24,0,39,Dairy products
"skim, instant_var2",1 1/3 cups,85,290,30,t,t,0,42,Dairy products
"skim, non-instant_var2",2/3 cup,85,290,30,t,t,1,42,Dairy products
Goats' milk_var2,1 cup,244,165,8,10,8,0,11,Dairy products
(1/2 cup ice cream)_var2,2 cups,540,690,24,24,22,0,70,Dairy products
Cocoa_var2,1 cup,252,235,8,11,10,0,26,Dairy products
skim. milk_var2,1 cup,250,128,18,4,3,1,13,Dairy products
(cornstarch)_var2,1 cup,248,275,9,10,9,0,40,Dairy products
Custard_var2,1 cup,248,285,13,14,11,0,28,Dairy products
Ice cream_var2,1 cup,188,300,6,18,16,0,29,Dairy products
Ice milk_var2,1 cup,190,275,9,10,9,0,32,Dairy products
Cream or half-and-half_var2,1/2 cup,120,170,4,15,13,0,5,Dairy products
or whipping_var2,1/2 cup,119,430,2,44,27,1,3,Dairy products
Cheese_var2,1 cup,225,240,30,11,10,0,6,Dairy products
uncreamed_var2,1 cup,225,195,38,t,t,0,6,Dairy products
Cheddar_var2,1-in. cube,17,70,4,6,5,0,t,Dairy products
"Cheddar, grated cup_var2",1/2 cup,56,226,14,19,17,0,1,Dairy products
Cream cheese_var2,1 oz.,28,105,2,11,10,0,1,Dairy products
Processed cheese_var2,1 oz.,28,105,7,9,8,0,t,Dairy products
Roquefort type_var2,1 oz.,28,105,6,9,8,0,t,Dairy products
Swiss_var2,1 oz.,28,105,7,8,7,0,t,Dairy products
Eggs raw_var2,2,100,150,12,12,10,0,t,Dairy products
Eggs Scrambled or fried_var2,2,128,220,13,16,14,0,1,Dairy products
Yolks_var2,2,34,120,6,10,8,0,t,"Fats, Oils, Shortenings"
Butter_var2,1T.,14,100,t,11,10,0,t,"Fats, Oils, Shortenings"
Butter_var2,1/2 cup,112,113,114,115,116,117,118,"Fats, Oils, Shortenings"
Butter_var2,1/4 lb.,112,113,114,115,116,117,118,"Fats, Oils, Shortenings"
Hydrogenated cooking fat_var2,1/2 cup,100,665,0,100,88,0,0,"Fats, Oils, Shortenings"
Lard_var2,1/2 cup,110,992,0,110,92,0,0,"Fats, Oils, Shortenings"
Margarine_var2,1/2 cup,112,806,t,91,76,0,t,"Fats, Oils, Shortenings"
"Margarine, 2 pat or_var2",1 T.,14,100,t,11,9,0,t,"Fats, Oils, Shortenings"
Mayonnaise_var2,1 T.,15,110,t,12,5,0,t,"Fats, Oils, Shortenings"
Corn oil_var2,1 T.,14,125,0,14,5,0,0,"Fats, Oils, Shortenings"
Olive oil_var2,1T.,14,125,0,14,3,0,0,"Fats, Oils, Shortenings"
Safflower seed oil_var2,1 T.,14,125,0,14,3,0,0,"Fats, Oils, Shortenings"
French dressing_var2,1 T.,15,60,t,6,2,0,2,"Fats, Oils, Shortenings"
Thousand Island sauce_var2,1 T.,15,75,t,8,3,0,1,"Fats, Oils, Shortenings"
Salt pork_var2,2 oz.,60,470,3,55,,0,0,"Meat, Poultry"
Bacon_var2,2 slices,16,95,4,8,7,0,1,"Meat, Poultry"
Beef_var2,3 oz.,85,245,23,16,15,0,0,"Meat, Poultry"
Hamburger_var2,3 oz.,85,245,21,17,15,0,0,"Meat, Poultry"
Ground lean_var2,3 oz.,85,185,24,10,9,0,0,"Meat, Poultry"
Roast beef_var2,3 oz.,85,390,16,36,35,0,0,"Meat, Poultry"
Steak_var2,3 oz.,85,330,20,27,25,0,0,"Meat, Poultry"
"Steak, lean, as round_var2",3 oz.,85,220,24,12,11,0,0,"Meat, Poultry"
Corned beef_var2,3 oz.,85,185,22,10,9,0,0,"Meat, Poultry"
Corned beef hash canned_var2,3 oz.,85,120,12,8,7,t,6,"Meat, Poultry"
Corned beef hash Dried_var2,2 oz.,56,115,19,4,4,0,0,"Meat, Poultry"
Pot-pie_var2,1 pie,227,480,18,28,25,t,32,"Meat, Poultry"
Corned beef hash Stew_var2,1 cup,235,185,15,10,9,t,15,"Meat, Poultry"
chicken_var2,3 oz.,85,185,23,9,7,0,0,"Meat, Poultry"
"Fried, breast or leg and thigh chicken_var2",3 oz.,85,245,25,15,11,0,0,"Meat, Poultry"
Roasted chicken_var2,3 1/2 oz.,100,290,25,20,16,0,0,"Meat, Poultry"
"Chicken livers, fried_var2",3 med.,100,140,22,14,12,0,2.3,"Meat, Poultry"
"Duck, domestic_var2",3 1/2 oz.,100,370,16,28,0,0,0,"Meat, Poultry"
"Lamb, chop, broiled_var2",4 oz.,115,480,24,35,33,0,0,"Meat, Poultry"
Leg roasted_var2,3 oz.,86,314,20,14,14,0,0,"Meat, Poultry"
"Shoulder, braised_var2",3 oz.,85,285,18,23,21,0,0,"Meat, Poultry"
"Pork, chop, 1 thick_var2",3 1/2 oz.,100,260,16,21,18,0,0,"Meat, Poultry"
Ham pan-broiled_var2,3 oz.,85,290,16,22,19,0,0,"Meat, Poultry"
"Ham, as _var2",2 oz.,57,170,13,13,11,0,0,"Meat, Poultry"
"Ham, canned, spiced_var2",2 oz.,57,165,8,14,12,0,1,"Meat, Poultry"
Pork roast_var2,3 oz.,85,310,21,24,21,0,0,"Meat, Poultry"
Pork sausage_var2,3 1/2 oz.,100,475,18,44,40,0,0,"Meat, Poultry"
Turkey_var2,3 1/2 oz.,100,265,27,15,0,0,0,"Meat, Poultry"
Veal_var2,3 oz.,85,185,23,9,8,0,0,"Meat, Poultry"
Roast_var2,3 oz.,85,305,13,14,13,0,0,"Meat, Poultry"
Clams_var2,3 oz.,85,87,12,1,0,0,2,"Fish, Seafood"
Cod_var2,3 1/2 oz.,100,170,28,5,0,0,0,"Fish, Seafood"
Crab meat_var2,3 oz.,85,90,14,2,0,0,1,"Fish, Seafood"
Fish sticks fried_var2,5,112,200,19,10,5,0,8,"Fish, Seafood"
Flounder_var2,3 1/2 oz.,100,200,30,8,0,0,0,"Fish, Seafood"
Haddock_var2,3 oz.,85,135,16,5,4,0,6,"Fish, Seafood"
Halibut_var2,3 1/2 oz.,100,182,26,8,0,0,0,"Fish, Seafood"
Herring_var2,1 small,100,211,22,13,0,0,0,"Fish, Seafood"
Lobster_var2,aver.,100,92,18,1,0,0,t,"Fish, Seafood"
Mackerel_var2,3 oz.,85,155,18,9,0,a,0,"Fish, Seafood"
Oysters_var2,6-8 med.,230,231,232,233,234,235,236,"Fish, Seafood"
Oyster stew_var2,1 cup,85,125,19,6,1,0,0,"Fish, Seafood"
Salmon_var2,3 oz.,85,120,17,5,1,0,0,"Fish, Seafood"
Sardines_var2,3 oz.,85,180,22,9,4,0,0,"Fish, Seafood"
Scallops_var2,3 1/2 oz.,100,104,18,8,0,0,10,"Fish, Seafood"
Shad_var2,3 oz.,85,170,20,10,0,0,0,"Fish, Seafood"
Shrimp_var2,3 oz.,85,110,23,1,0,0,0,"Fish, Seafood"
Swordfish_var2,1 steak,100,180,27,6,0,0,0,"Fish, Seafood"
Tuna_var2,3 oz.,85,170,25,7,3,0,0,"Fish, Seafood"
Artichoke_var2,1 large,100,Aug-44,2,t,t,2,10,Vegetables A-E
Asparagus_var2,6 spears,96,18,1,t,t,0.5,3,Vegetables A-E
Beans_var2,1 cup,125,25,1,t,t,0.8,6,Vegetables A-E
Lima_var2,1 cup,160,140,8,t,t,3,24,Vegetables A-E
"Lima, dry, cooked_var2",1 cup,192,260,16,t,t,2,48,Vegetables A-E
"Navy, baked with pork_var2",3/4 cup,200,250,11,6,6,2,37,Vegetables A-E
Red kidney_var2,1 cup,260,230,15,1,0,2.5,42,Vegetables A-E
Bean sprouts_var2,1 cup,50,17,1,t,0,0.3,3,Vegetables A-E
Beet greens_var2,1 cup,100,27,2,t,0,1.4,6,Vegetables A-E
Beetroots_var2,1 cup,165,1,12,0,,t,0.8,Vegetables A-E
Broccoli_var2,1 cup,150,45,5,t,0,1.9,8,Vegetables A-E
Brussels sprouts_var2,1 cup,130,60,6,t,0,1.7,12,Vegetables A-E
